family,representative,sample,file_count,latest_mtime,sample_size_bytes,error_hit_count_in_tail
slurm-large1-qwen-7b-main-c02.out,slurm/logs/slurm-large1-qwen-7b-main-c02-1766202_9.out,results/general/slurm_log_samples/slurm-large1-qwen-7b-main-c02.out,5,1783871061,2768,0
slurm-large1-qwen-7b-main-c03.err,slurm/logs/slurm-large1-qwen-7b-main-c03-1766203_14.err,results/general/slurm_log_samples/slurm-large1-qwen-7b-main-c03.err,5,1783871095,1236,2
slurm-large1-qwen-7b-main-c03.out,slurm/logs/slurm-large1-qwen-7b-main-c03-1766203_14.out,results/general/slurm_log_samples/slurm-large1-qwen-7b-main-c03.out,5,1783871059,2815,0
slurm-large1-qwen-7b-main-c04.err,slurm/logs/slurm-large1-qwen-7b-main-c04-1766204_19.err,results/general/slurm_log_samples/slurm-large1-qwen-7b-main-c04.err,5,1783871659,1137,2
slurm-large1-qwen-7b-main-c04.out,slurm/logs/slurm-large1-qwen-7b-main-c04-1766204_19.out,results/general/slurm_log_samples/slurm-large1-qwen-7b-main-c04.out,5,1783871691,2770,0
slurm-large1-qwen-7b-main-c05.err,slurm/logs/slurm-large1-qwen-7b-main-c05-1766205_24.err,results/general/slurm_log_samples/slurm-large1-qwen-7b-main-c05.err,5,1783871661,1137,2
slurm-large1-qwen-7b-main-c05.out,slurm/logs/slurm-large1-qwen-7b-main-c05-1766205_24.out,results/general/slurm_log_samples/slurm-large1-qwen-7b-main-c05.out,5,1783871693,2815,0
slurm-large1-qwen-7b-main-c06.err,slurm/logs/slurm-large1-qwen-7b-main-c06-1766206_29.err,results/general/slurm_log_samples/slurm-large1-qwen-7b-main-c06.err,5,1783871691,1047,2
slurm-large1-qwen-7b-main-c06.out,slurm/logs/slurm-large1-qwen-7b-main-c06-1766206_29.out,results/general/slurm_log_samples/slurm-large1-qwen-7b-main-c06.out,5,1783871655,2770,0
slurm-large1-qwen-7b-main-c07.err,slurm/logs/slurm-large1-qwen-7b-main-c07-1766207_34.err,results/general/slurm_log_samples/slurm-large1-qwen-7b-main-c07.err,5,1783872244,1048,2
slurm-large1-qwen-7b-main-c07.out,slurm/logs/slurm-large1-qwen-7b-main-c07-1766207_34.out,results/general/slurm_log_samples/slurm-large1-qwen-7b-main-c07.out,5,1783872243,2770,0
slurm-large1-qwen-7b-main-c08.err,slurm/logs/slurm-large1-qwen-7b-main-c08-1766208_39.err,results/general/slurm_log_samples/slurm-large1-qwen-7b-main-c08.err,5,1783872277,1045,2
slurm-large1-qwen-7b-main-c08.out,slurm/logs/slurm-large1-qwen-7b-main-c08-1766208_39.out,results/general/slurm_log_samples/slurm-large1-qwen-7b-main-c08.out,5,1783872243,2815,0
slurm-large1-qwen-7b-main-c09.err,slurm/logs/slurm-large1-qwen-7b-main-c09-1766209_44.err,results/general/slurm_log_samples/slurm-large1-qwen-7b-main-c09.err,5,1783872250,1047,2
slurm-large1-qwen-7b-main-c09.out,slurm/logs/slurm-large1-qwen-7b-main-c09-1766209_44.out,results/general/slurm_log_samples/slurm-large1-qwen-7b-main-c09.out,5,1783872248,2770,0
slurm-large1-qwen-7b-main-c10.err,slurm/logs/slurm-large1-qwen-7b-main-c10-1766210_49.err,results/general/slurm_log_samples/slurm-large1-qwen-7b-main-c10.err,5,1783872707,1046,2
slurm-large1-qwen-7b-main-c10.out,slurm/logs/slurm-large1-qwen-7b-main-c10-1766210_49.out,results/general/slurm_log_samples/slurm-large1-qwen-7b-main-c10.out,5,1783872704,2770,0
slurm-large1-qwen-7b-main-c11.err,slurm/logs/slurm-large1-qwen-7b-main-c11-1766211_54.err,results/general/slurm_log_samples/slurm-large1-qwen-7b-main-c11.err,5,1783872700,1046,2
slurm-large1-qwen-7b-main-c11.out,slurm/logs/slurm-large1-qwen-7b-main-c11-1766211_54.out,results/general/slurm_log_samples/slurm-large1-qwen-7b-main-c11.out,5,1783872732,2770,0
slurm-large1-qwen-7b-main-c12.err,slurm/logs/slurm-large1-qwen-7b-main-c12-1766212_57.err,results/general/slurm_log_samples/slurm-large1-qwen-7b-main-c12.err,3,1783872517,1047,2
slurm-large1-qwen-7b-main-c12.out,slurm/logs/slurm-large1-qwen-7b-main-c12-1766212_57.out,results/general/slurm_log_samples/slurm-large1-qwen-7b-main-c12.out,3,1783872516,2815,0
slurm-large1-qwen-7b-pressure-c01.err,slurm/logs/slurm-large1-qwen-7b-pressure-c01-1766213_4.err,results/general/slurm_log_samples/slurm-large1-qwen-7b-pressure-c01.err,5,1783873260,1044,2
slurm-large1-qwen-7b-pressure-c01.out,slurm/logs/slurm-large1-qwen-7b-pressure-c01-1766213_4.out,results/general/slurm_log_samples/slurm-large1-qwen-7b-pressure-c01.out,5,1783873292,2715,0
slurm-large1-qwen-7b-pressure-c02.err,slurm/logs/slurm-large1-qwen-7b-pressure-c02-1766214_9.err,results/general/slurm_log_samples/slurm-large1-qwen-7b-pressure-c02.err,5,1783873442,1043,2
slurm-large1-qwen-7b-pressure-c02.out,slurm/logs/slurm-large1-qwen-7b-pressure-c02-1766214_9.out,results/general/slurm_log_samples/slurm-large1-qwen-7b-pressure-c02.out,5,1783873440,2715,0
slurm-large1-qwen-7b-pressure-c03.err,slurm/logs/slurm-large1-qwen-7b-pressure-c03-1766215_14.err,results/general/slurm_log_samples/slurm-large1-qwen-7b-pressure-c03.err,5,1783873440,1041,2
slurm-large1-qwen-7b-pressure-c03.out,slurm/logs/slurm-large1-qwen-7b-pressure-c03-1766215_14.out,results/general/slurm_log_samples/slurm-large1-qwen-7b-pressure-c03.out,5,1783873439,2672,0
slurm-large1-qwen-7b-pressure-c04.err,slurm/logs/slurm-large1-qwen-7b-pressure-c04-1766216_19.err,results/general/slurm_log_samples/slurm-large1-qwen-7b-pressure-c04.err,5,1783874012,1045,2
slurm-large1-qwen-7b-pressure-c04.out,slurm/logs/slurm-large1-qwen-7b-pressure-c04-1766216_19.out,results/general/slurm_log_samples/slurm-large1-qwen-7b-pressure-c04.out,5,1783874044,2672,0
slurm-large1-qwen-7b-pressure-c05.err,slurm/logs/slurm-large1-qwen-7b-pressure-c05-1766217_24.err,results/general/slurm_log_samples/slurm-large1-qwen-7b-pressure-c05.err,5,1783874164,1043,2
slurm-large1-qwen-7b-pressure-c05.out,slurm/logs/slurm-large1-qwen-7b-pressure-c05-1766217_24.out,results/general/slurm_log_samples/slurm-large1-qwen-7b-pressure-c05.out,5,1783874197,2717,0
slurm-large1-qwen-7b-pressure-c06.err,slurm/logs/slurm-large1-qwen-7b-pressure-c06-1766218_29.err,results/general/slurm_log_samples/slurm-large1-qwen-7b-pressure-c06.err,5,1783874199,1042,2
slurm-large1-qwen-7b-pressure-c06.out,slurm/logs/slurm-large1-qwen-7b-pressure-c06-1766218_29.out,results/general/slurm_log_samples/slurm-large1-qwen-7b-pressure-c06.out,5,1783874197,2672,0
slurm-large1-qwen-7b-pressure-c07.err,slurm/logs/slurm-large1-qwen-7b-pressure-c07-1766219_34.err,results/general/slurm_log_samples/slurm-large1-qwen-7b-pressure-c07.err,5,1783874978,1045,2
slurm-large1-qwen-7b-pressure-c07.out,slurm/logs/slurm-large1-qwen-7b-pressure-c07-1766219_34.out,results/general/slurm_log_samples/slurm-large1-qwen-7b-pressure-c07.out,5,1783874976,2672,0
slurm-large1-qwen-7b-pressure-c08.err,slurm/logs/slurm-large1-qwen-7b-pressure-c08-1766220_37.err,results/general/slurm_log_samples/slurm-large1-qwen-7b-pressure-c08.err,3,1783874857,1042,2
slurm-large1-qwen-7b-pressure-c08.out,slurm/logs/slurm-large1-qwen-7b-pressure-c08-1766220_37.out,results/general/slurm_log_samples/slurm-large1-qwen-7b-pressure-c08.out,3,1783874855,2717,0
slurm-medium1-qwen-1-5b-main-c01.err,slurm/logs/slurm-medium1-qwen-1-5b-main-c01-1765981_6.err,results/general/slurm_log_samples/slurm-medium1-qwen-1-5b-main-c01.err,7,1783874578,540,2
slurm-medium1-qwen-1-5b-main-c01.out,slurm/logs/slurm-medium1-qwen-1-5b-main-c01-1765981_6.out,results/general/slurm_log_samples/slurm-medium1-qwen-1-5b-main-c01.out,7,1783874543,2815,0
slurm-medium1-qwen-1-5b-main-c02.err,slurm/logs/slurm-medium1-qwen-1-5b-main-c02-1765982_13.err,results/general/slurm_log_samples/slurm-medium1-qwen-1-5b-main-c02.err,7,1783874720,539,2
slurm-medium1-qwen-1-5b-main-c02.out,slurm/logs/slurm-medium1-qwen-1-5b-main-c02-1765982_13.out,results/general/slurm_log_samples/slurm-medium1-qwen-1-5b-main-c02.out,7,1783874752,2817,0
slurm-medium1-qwen-1-5b-main-c03.err,slurm/logs/slurm-medium1-qwen-1-5b-main-c03-1765983_20.err,results/general/slurm_log_samples/slurm-medium1-qwen-1-5b-main-c03.err,7,1783874813,541,2
slurm-medium1-qwen-1-5b-main-c03.out,slurm/logs/slurm-medium1-qwen-1-5b-main-c03-1765983_20.out,results/general/slurm_log_samples/slurm-medium1-qwen-1-5b-main-c03.out,7,1783874844,2817,0
slurm-medium1-qwen-1-5b-main-c04.err,slurm/logs/slurm-medium1-qwen-1-5b-main-c04-1765984_27.err,results/general/slurm_log_samples/slurm-medium1-qwen-1-5b-main-c04.err,7,1783874907,541,2
slurm-medium1-qwen-1-5b-main-c04.out,slurm/logs/slurm-medium1-qwen-1-5b-main-c04-1765984_27.out,results/general/slurm_log_samples/slurm-medium1-qwen-1-5b-main-c04.out,7,1783874904,2817,0
slurm-medium1-qwen-1-5b-main-c05.err,slurm/logs/slurm-medium1-qwen-1-5b-main-c05-1765985_34.err,results/general/slurm_log_samples/slurm-medium1-qwen-1-5b-main-c05.err,7,1783875389,545,2
slurm-medium1-qwen-1-5b-main-c05.out,slurm/logs/slurm-medium1-qwen-1-5b-main-c05-1765985_34.out,results/general/slurm_log_samples/slurm-medium1-qwen-1-5b-main-c05.out,7,1783875420,2817,0
slurm-medium1-qwen-1-5b-main-c06.err,slurm/logs/slurm-medium1-qwen-1-5b-main-c06-1765986_41.err,results/general/slurm_log_samples/slurm-medium1-qwen-1-5b-main-c06.err,7,1783875475,545,2
slurm-medium1-qwen-1-5b-main-c06.out,slurm/logs/slurm-medium1-qwen-1-5b-main-c06-1765986_41.out,results/general/slurm_log_samples/slurm-medium1-qwen-1-5b-main-c06.out,7,1783875474,2817,0
slurm-medium1-qwen-1-5b-main-c07.err,slurm/logs/slurm-medium1-qwen-1-5b-main-c07-1765987_48.err,results/general/slurm_log_samples/slurm-medium1-qwen-1-5b-main-c07.err,7,1783875577,544,2
slurm-medium1-qwen-1-5b-main-c07.out,slurm/logs/slurm-medium1-qwen-1-5b-main-c07-1765987_48.out,results/general/slurm_log_samples/slurm-medium1-qwen-1-5b-main-c07.out,7,1783875542,2817,0
slurm-medium1-qwen-1-5b-main-c08.err,slurm/logs/slurm-medium1-qwen-1-5b-main-c08-1765988_55.err,results/general/slurm_log_samples/slurm-medium1-qwen-1-5b-main-c08.err,7,1783875597,544,2
slurm-medium1-qwen-1-5b-main-c08.out,slurm/logs/slurm-medium1-qwen-1-5b-main-c08-1765988_55.out,results/general/slurm_log_samples/slurm-medium1-qwen-1-5b-main-c08.out,7,1783875595,2817,0
slurm-medium1-qwen-1-5b-main-c09.err,slurm/logs/slurm-medium1-qwen-1-5b-main-c09-1765989_57.err,results/general/slurm_log_samples/slurm-medium1-qwen-1-5b-main-c09.err,2,1783875565,544,2
slurm-medium1-qwen-1-5b-main-c09.out,slurm/logs/slurm-medium1-qwen-1-5b-main-c09-1765989_57.out,results/general/slurm_log_samples/slurm-medium1-qwen-1-5b-main-c09.out,2,1783875598,2817,0
slurm-medium1-qwen-1-5b-pressure-c01.err,slurm/logs/slurm-medium1-qwen-1-5b-pressure-c01-1765994_6.err,results/general/slurm_log_samples/slurm-medium1-qwen-1-5b-pressure-c01.err,7,1783876805,544,2
slurm-medium1-qwen-1-5b-pressure-c01.out,slurm/logs/slurm-medium1-qwen-1-5b-pressure-c01-1765994_6.out,results/general/slurm_log_samples/slurm-medium1-qwen-1-5b-pressure-c01.out,7,1783876837,2717,0
slurm-medium1-qwen-1-5b-pressure-c02.err,slurm/logs/slurm-medium1-qwen-1-5b-pressure-c02-1765995_13.err,results/general/slurm_log_samples/slurm-medium1-qwen-1-5b-pressure-c02.err,7,1783876839,538,2
slurm-medium1-qwen-1-5b-pressure-c02.out,slurm/logs/slurm-medium1-qwen-1-5b-pressure-c02-1765995_13.out,results/general/slurm_log_samples/slurm-medium1-qwen-1-5b-pressure-c02.out,7,1783876837,2764,0
slurm-medium1-qwen-1-5b-pressure-c03.err,slurm/logs/slurm-medium1-qwen-1-5b-pressure-c03-1765996_20.err,results/general/slurm_log_samples/slurm-medium1-qwen-1-5b-pressure-c03.err,7,1783876851,538,2
slurm-medium1-qwen-1-5b-pressure-c03.out,slurm/logs/slurm-medium1-qwen-1-5b-pressure-c03-1765996_20.out,results/general/slurm_log_samples/slurm-medium1-qwen-1-5b-pressure-c03.out,7,1783876882,2719,0
slurm-medium1-qwen-1-5b-pressure-c04.err,slurm/logs/slurm-medium1-qwen-1-5b-pressure-c04-1765997_27.err,results/general/slurm_log_samples/slurm-medium1-qwen-1-5b-pressure-c04.err,7,1783876939,543,2
slurm-medium1-qwen-1-5b-pressure-c04.out,slurm/logs/slurm-medium1-qwen-1-5b-pressure-c04-1765997_27.out,results/general/slurm_log_samples/slurm-medium1-qwen-1-5b-pressure-c04.out,7,1783876937,2719,0
slurm-medium1-qwen-1-5b-pressure-c05.err,slurm/logs/slurm-medium1-qwen-1-5b-pressure-c05-1765998_34.err,results/general/slurm_log_samples/slurm-medium1-qwen-1-5b-pressure-c05.err,7,1783878160,541,2
slurm-medium1-qwen-1-5b-pressure-c05.out,slurm/logs/slurm-medium1-qwen-1-5b-pressure-c05-1765998_34.out,results/general/slurm_log_samples/slurm-medium1-qwen-1-5b-pressure-c05.out,7,1783878192,2719,0
slurm-medium1-qwen-1-5b-pressure-c06.err,slurm/logs/slurm-medium1-qwen-1-5b-pressure-c06-1765999_37.err,results/general/slurm_log_samples/slurm-medium1-qwen-1-5b-pressure-c06.err,3,1783877291,539,2
slurm-medium1-qwen-1-5b-pressure-c06.out,slurm/logs/slurm-medium1-qwen-1-5b-pressure-c06-1765999_37.out,results/general/slurm_log_samples/slurm-medium1-qwen-1-5b-pressure-c06.out,3,1783877256,2719,0
slurm-medium2-phi3-main-c01.err,slurm/logs/slurm-medium2-phi3-main-c01-1766000_6.err,results/general/slurm_log_samples/slurm-medium2-phi3-main-c01.err,7,1783878149,875,2
slurm-medium2-phi3-main-c01.out,slurm/logs/slurm-medium2-phi3-main-c01-1766000_6.out,results/general/slurm_log_samples/slurm-medium2-phi3-main-c01.out,7,1783878181,2776,0
slurm-medium2-phi3-main-c02.err,slurm/logs/slurm-medium2-phi3-main-c02-1766001_13.err,results/general/slurm_log_samples/slurm-medium2-phi3-main-c02.err,7,1783878314,874,2
slurm-medium2-phi3-main-c02.out,slurm/logs/slurm-medium2-phi3-main-c02-1766001_13.out,results/general/slurm_log_samples/slurm-medium2-phi3-main-c02.out,7,1783878311,2778,0
slurm-medium2-phi3-main-c03.err,slurm/logs/slurm-medium2-phi3-main-c03-1766002_20.err,results/general/slurm_log_samples/slurm-medium2-phi3-main-c03.err,7,1783878590,875,2
slurm-medium2-phi3-main-c03.out,slurm/logs/slurm-medium2-phi3-main-c03-1766002_20.out,results/general/slurm_log_samples/slurm-medium2-phi3-main-c03.out,7,1783878555,2778,0
slurm-medium2-phi3-main-c04.err,slurm/logs/slurm-medium2-phi3-main-c04-1766003_27.err,results/general/slurm_log_samples/slurm-medium2-phi3-main-c04.err,7,1783878874,876,2
slurm-medium2-phi3-main-c04.out,slurm/logs/slurm-medium2-phi3-main-c04-1766003_27.out,results/general/slurm_log_samples/slurm-medium2-phi3-main-c04.out,7,1783878907,2778,0
slurm-medium2-phi3-main-c05.err,slurm/logs/slurm-medium2-phi3-main-c05-1766004_34.err,results/general/slurm_log_samples/slurm-medium2-phi3-main-c05.err,7,1783878981,879,2
slurm-medium2-phi3-main-c05.out,slurm/logs/slurm-medium2-phi3-main-c05-1766004_34.out,results/general/slurm_log_samples/slurm-medium2-phi3-main-c05.out,7,1783878945,2823,0
slurm-medium2-phi3-main-c06.err,slurm/logs/slurm-medium2-phi3-main-c06-1766005_41.err,results/general/slurm_log_samples/slurm-medium2-phi3-main-c06.err,7,1783879066,880,2
slurm-medium2-phi3-main-c06.out,slurm/logs/slurm-medium2-phi3-main-c06-1766005_41.out,results/general/slurm_log_samples/slurm-medium2-phi3-main-c06.out,7,1783879098,2778,0
slurm-medium2-phi3-main-c07.err,slurm/logs/slurm-medium2-phi3-main-c07-1766006_48.err,results/general/slurm_log_samples/slurm-medium2-phi3-main-c07.err,7,1783879669,879,2
slurm-medium2-phi3-main-c07.out,slurm/logs/slurm-medium2-phi3-main-c07-1766006_48.out,results/general/slurm_log_samples/slurm-medium2-phi3-main-c07.out,7,1783879633,2778,0
slurm-medium2-phi3-main-c08.err,slurm/logs/slurm-medium2-phi3-main-c08-1766007_55.err,results/general/slurm_log_samples/slurm-medium2-phi3-main-c08.err,7,1783879942,879,2
slurm-medium2-phi3-main-c08.out,slurm/logs/slurm-medium2-phi3-main-c08-1766007_55.out,results/general/slurm_log_samples/slurm-medium2-phi3-main-c08.out,7,1783879940,2778,0
slurm-medium2-phi3-main-c09.err,slurm/logs/slurm-medium2-phi3-main-c09-1766008_57.err,results/general/slurm_log_samples/slurm-medium2-phi3-main-c09.err,2,1783879575,878,2
slurm-medium2-phi3-main-c09.out,slurm/logs/slurm-medium2-phi3-main-c09-1766008_57.out,results/general/slurm_log_samples/slurm-medium2-phi3-main-c09.out,2,1783879573,2778,0
slurm-medium2-phi3-pressure-c01.err,slurm/logs/slurm-medium2-phi3-pressure-c01-1766191_6.err,results/general/slurm_log_samples/slurm-medium2-phi3-pressure-c01.err,7,1783880431,879,2
slurm-medium2-phi3-pressure-c01.out,slurm/logs/slurm-medium2-phi3-pressure-c01-1766191_6.out,results/general/slurm_log_samples/slurm-medium2-phi3-pressure-c01.out,7,1783880429,2678,0
slurm-medium2-phi3-pressure-c02.err,slurm/logs/slurm-medium2-phi3-pressure-c02-1766192_13.err,results/general/slurm_log_samples/slurm-medium2-phi3-pressure-c02.err,7,1783880546,874,2
slurm-medium2-phi3-pressure-c02.out,slurm/logs/slurm-medium2-phi3-pressure-c02-1766192_13.out,results/general/slurm_log_samples/slurm-medium2-phi3-pressure-c02.out,7,1783880578,2680,0
slurm-medium2-phi3-pressure-c03.err,slurm/logs/slurm-medium2-phi3-pressure-c03-1766193_20.err,results/general/slurm_log_samples/slurm-medium2-phi3-pressure-c03.err,7,1783880572,874,2
slurm-medium2-phi3-pressure-c03.out,slurm/logs/slurm-medium2-phi3-pressure-c03-1766193_20.out,results/general/slurm_log_samples/slurm-medium2-phi3-pressure-c03.out,7,1783880571,2680,0
slurm-medium2-phi3-pressure-c04.err,slurm/logs/slurm-medium2-phi3-pressure-c04-1766194_27.err,results/general/slurm_log_samples/slurm-medium2-phi3-pressure-c04.err,7,1783881272,878,2
slurm-medium2-phi3-pressure-c04.out,slurm/logs/slurm-medium2-phi3-pressure-c04-1766194_27.out,results/general/slurm_log_samples/slurm-medium2-phi3-pressure-c04.out,7,1783881237,2680,0
slurm-medium2-phi3-pressure-c05.err,slurm/logs/slurm-medium2-phi3-pressure-c05-1766195_34.err,results/general/slurm_log_samples/slurm-medium2-phi3-pressure-c05.err,7,1783881633,877,2
slurm-medium2-phi3-pressure-c05.out,slurm/logs/slurm-medium2-phi3-pressure-c05-1766195_34.out,results/general/slurm_log_samples/slurm-medium2-phi3-pressure-c05.out,7,1783881632,2680,0
slurm-medium2-phi3-pressure-c06.err,slurm/logs/slurm-medium2-phi3-pressure-c06-1766196_37.err,results/general/slurm_log_samples/slurm-medium2-phi3-pressure-c06.err,3,1783881301,874,2
slurm-medium2-phi3-pressure-c06.out,slurm/logs/slurm-medium2-phi3-pressure-c06-1766196_37.out,results/general/slurm_log_samples/slurm-medium2-phi3-pressure-c06.out,3,1783881266,2680,0
slurm-small1-tinyllama-main-c01.err,slurm/logs/slurm-small1-tinyllama-main-c01-1765942_6.err,results/general/slurm_log_samples/slurm-small1-tinyllama-main-c01.err,7,1783877402,538,2
slurm-small1-tinyllama-main-c01.out,slurm/logs/slurm-small1-tinyllama-main-c01-1765942_6.out,results/general/slurm_log_samples/slurm-small1-tinyllama-main-c01.out,7,1783877401,2883,0
slurm-small1-tinyllama-main-c02.err,slurm/logs/slurm-small1-tinyllama-main-c02-1765943_13.err,results/general/slurm_log_samples/slurm-small1-tinyllama-main-c02.err,7,1783877554,537,2
slurm-small1-tinyllama-main-c02.out,slurm/logs/slurm-small1-tinyllama-main-c02-1765943_13.out,results/general/slurm_log_samples/slurm-small1-tinyllama-main-c02.out,7,1783877553,2840,0
slurm-small1-tinyllama-main-c03.err,slurm/logs/slurm-small1-tinyllama-main-c03-1765944_20.err,results/general/slurm_log_samples/slurm-small1-tinyllama-main-c03.err,7,1783877604,538,2
slurm-small1-tinyllama-main-c03.out,slurm/logs/slurm-small1-tinyllama-main-c03-1765944_20.out,results/general/slurm_log_samples/slurm-small1-tinyllama-main-c03.out,7,1783877602,2840,0
slurm-small1-tinyllama-main-c04.err,slurm/logs/slurm-small1-tinyllama-main-c04-1765945_27.err,results/general/slurm_log_samples/slurm-small1-tinyllama-main-c04.err,7,1783877635,623,2
slurm-small1-tinyllama-main-c04.out,slurm/logs/slurm-small1-tinyllama-main-c04-1765945_27.out,results/general/slurm_log_samples/slurm-small1-tinyllama-main-c04.out,7,1783877633,2840,0
slurm-small1-tinyllama-main-c05.err,slurm/logs/slurm-small1-tinyllama-main-c05-1765946_34.err,results/general/slurm_log_samples/slurm-small1-tinyllama-main-c05.err,7,1783880657,542,2
slurm-small1-tinyllama-main-c05.out,slurm/logs/slurm-small1-tinyllama-main-c05-1765946_34.out,results/general/slurm_log_samples/slurm-small1-tinyllama-main-c05.out,7,1783880689,2840,0
slurm-small1-tinyllama-main-c06.err,slurm/logs/slurm-small1-tinyllama-main-c06-1765947_41.err,results/general/slurm_log_samples/slurm-small1-tinyllama-main-c06.err,7,1783880722,542,2
slurm-small1-tinyllama-main-c06.out,slurm/logs/slurm-small1-tinyllama-main-c06-1765947_41.out,results/general/slurm_log_samples/slurm-small1-tinyllama-main-c06.out,7,1783880753,2840,0
slurm-small1-tinyllama-main-c07.err,slurm/logs/slurm-small1-tinyllama-main-c07-1765948_48.err,results/general/slurm_log_samples/slurm-small1-tinyllama-main-c07.err,7,1783880752,542,2
slurm-small1-tinyllama-main-c07.out,slurm/logs/slurm-small1-tinyllama-main-c07-1765948_48.out,results/general/slurm_log_samples/slurm-small1-tinyllama-main-c07.out,7,1783880749,2840,0
slurm-small1-tinyllama-main-c08.err,slurm/logs/slurm-small1-tinyllama-main-c08-1765949_55.err,results/general/slurm_log_samples/slurm-small1-tinyllama-main-c08.err,7,1783880752,542,2
slurm-small1-tinyllama-main-c08.out,slurm/logs/slurm-small1-tinyllama-main-c08-1765949_55.out,results/general/slurm_log_samples/slurm-small1-tinyllama-main-c08.out,7,1783880782,2885,0
slurm-small1-tinyllama-main-c09.err,slurm/logs/slurm-small1-tinyllama-main-c09-1765950_57.err,results/general/slurm_log_samples/slurm-small1-tinyllama-main-c09.err,2,1783880865,542,2
slurm-small1-tinyllama-main-c09.out,slurm/logs/slurm-small1-tinyllama-main-c09-1765950_57.out,results/general/slurm_log_samples/slurm-small1-tinyllama-main-c09.out,2,1783880864,2840,0
slurm-small1-tinyllama-pressure-c01.err,slurm/logs/slurm-small1-tinyllama-pressure-c01-1765955_6.err,results/general/slurm_log_samples/slurm-small1-tinyllama-pressure-c01.err,7,1783881632,543,2
slurm-small1-tinyllama-pressure-c01.out,slurm/logs/slurm-small1-tinyllama-pressure-c01-1765955_6.out,results/general/slurm_log_samples/slurm-small1-tinyllama-pressure-c01.out,7,1783881664,2740,0
slurm-small1-tinyllama-pressure-c02.err,slurm/logs/slurm-small1-tinyllama-pressure-c02-1765956_13.err,results/general/slurm_log_samples/slurm-small1-tinyllama-pressure-c02.err,7,1783881873,536,2
